x,y,sampleID
37.041077,39.393074,msp_270
15.255439,40.830288,msp_271
36.519806,5.68836,msp_272
27.315975,17.800335,msp_273
20.25776,27.114325,msp_274
30.743729,25.794989,msp_275
14.324621,21.931517,msp_276
38.622105,18.010872,msp_277
36.54918,20.059223,msp_278
35.197235,49.948112,msp_279
7.0964966,48.35536,msp_280
49.12822,37.978462,msp_281
42.30842,18.362446,msp_282
20.815964,28.66046,msp_283
39.165184,27.52525,msp_284
9.769381,25.790205,msp_285
7.0290546,15.543209,msp_286
1.5622025,44.351406,msp_287
18.555378,5.63216,msp_288
15.58754,37.299057,msp_289
1.8255348,29.802826,msp_290
4.265318,11.17742,msp_291
24.366674,6.552084,msp_292
13.055423,27.526552,msp_293
21.194794,38.088478,msp_294
43.60503,7.3372917,msp_295
14.80116,37.33011,msp_296
12.060314,12.127716,msp_297
35.563263,16.277676,msp_298
14.304924,41.90318,msp_299
9.592138,9.308714,msp_300
39.188637,33.946693,msp_301
25.54174,18.94641,msp_302
30.08282,5.827915,msp_303
7.1324024,25.952251,msp_304
41.844276,24.127598,msp_305
25.634832,46.731476,msp_306
25.58102,36.604576,msp_307
9.258884,25.04409,msp_308
39.742775,40.97943,msp_309
13.053986,28.925709,msp_310
2.7256985,28.351715,msp_311
29.018475,12.951634,msp_312
29.937965,29.104416,msp_313
35.479927,50.05736,msp_314
26.742104,7.0568295,msp_315
42.51479,41.918465,msp_316
12.40642,44.74433,msp_317
7.887272,44.516144,msp_318
6.1836853,47.198833,msp_319
11.912824,43.138397,msp_320
7.365654,39.875706,msp_321
17.689022,5.840719,msp_322
40.2655,5.897217,msp_323
7.060276,14.981839,msp_324
31.819439,4.8628044,msp_325
45.088654,34.6703,msp_326
3.4518585,41.704327,msp_327
16.111418,3.5410957,msp_328
38.40649,31.78262,msp_329
47.573685,25.701998,msp_330
40.678207,35.719284,msp_331
24.666275,35.80547,msp_332
15.319231,48.83141,msp_333
17.144684,14.889128,msp_334
35.27112,16.509932,msp_335
9.366035,37.251442,msp_336
2.694519,12.972038,msp_337
5.81258,41.923473,msp_338
4.595623,44.636795,msp_339
44.519295,33.885796,msp_340
46.63744,42.99101,msp_341
7.0964966,48.35536,msp_342
31.5528,18.358719,msp_343
4.1064663,5.8666763,msp_344
8.382181,30.779247,msp_345
41.701687,8.29711,msp_346
17.483763,25.55789,msp_347
3.9414005,16.350687,msp_348
43.315796,35.499035,msp_349
33.08204,44.829746,msp_350
10.904312,1.5481167,msp_351
38.610798,44.61697,msp_352
3.05937,13.165168,msp_353
25.878923,47.874767,msp_354
23.026072,13.116232,msp_355
44.198784,31.574646,msp_356
45.96656,35.210136,msp_357
35.77625,26.452421,msp_358
31.590672,9.947923,msp_359
5.6630306,11.325593,msp_360
21.158026,41.18431,msp_361
20.400215,43.453957,msp_362
47.199318,33.039356,msp_363
22.523247,42.213108,msp_364
40.457195,33.84875,msp_365
4.26272,22.281338,msp_366
23.924501,39.699673,msp_367
13.718463,44.33721,msp_368
33.1959,43.26275,msp_369
5.629013,34.04747,msp_370
10.642672,43.20061,msp_371
44.893154,47.367195,msp_372
23.571354,28.911207,msp_373
12.366597,43.948975,msp_374
3.787365,2.6263504,msp_375
36.80201,3.7325745,msp_376
13.060003,7.4231796,msp_377
6.560791,15.896376,msp_378
46.05944,15.214785,msp_379
17.319225,2.7244148,msp_380
26.78305,32.150135,msp_381
16.771517,13.508877,msp_382
31.456848,28.962671,msp_383
45.918114,3.758154,msp_384
27.095398,45.89863,msp_385
25.176044,29.888535,msp_386
45.53013,22.520205,msp_387
48.906235,36.18657,msp_388
40.16084,28.955662,msp_389
19.405895,12.443385,msp_390
41.395027,27.063515,msp_391
17.125755,31.182745,msp_392
43.7248,26.704008,msp_393
42.99559,21.019123,msp_394
45.192154,15.85259,msp_395
40.14524,23.727598,msp_396
6.881069,41.501305,msp_397
11.399827,36.355972,msp_398
29.27334,6.739006,msp_399
19.204401,8.797224,msp_400
34.351875,15.428391,msp_401
36.57842,25.009224,msp_402
21.456419,29.104626,msp_403
38.769028,32.826946,msp_404
18.613892,27.17993,msp_405
18.969894,44.44636,msp_406
47.380154,16.639751,msp_407
31.108337,45.886627,msp_408
2.7805576,18.189785,msp_409
33.54176,34.46134,msp_410
5.4455795,19.261932,msp_411
41.8349,32.532604,msp_412
17.111702,38.3993,msp_413
2.4341736,29.761219,msp_414
18.12171,36.208076,msp_415
1.6739998,44.761166,msp_416
32.300472,9.397136,msp_417
3.7855892,37.84409,msp_418
7.27721,43.94028,msp_419
5.5754414,39.171875,msp_420
43.313637,23.457346,msp_421
21.55304,15.61678,msp_422
1.5566044,22.154028,msp_423
29.061386,20.353958,msp_424
38.65102,5.3858147,msp_425
15.731827,44.785004,msp_426
24.8919,37.5542,msp_427
15.733625,44.016464,msp_428
2.1387005,27.352707,msp_429
12.12202,16.904116,msp_430
33.33441,42.54495,msp_431
1.1734638,28.52001,msp_432
20.025375,30.301004,msp_433
32.950565,19.469051,msp_434
9.9789715,12.007861,msp_435
34.879738,45.44796,msp_436
14.421268,13.325751,msp_437
44.554466,18.97003,msp_438
44.534588,12.333617,msp_439
39.516,45.07364,msp_440
43.696487,32.088593,msp_441
34.93609,34.599945,msp_442
35.0003,7.407774,msp_443
34.226654,31.789162,msp_444
38.34898,39.869267,msp_445
6.569519,36.796722,msp_446
40.537327,3.5266018,msp_447
27.611013,37.794582,msp_448
5.8734665,15.813997,msp_449
42.32732,15.070004,msp_450
32.690052,3.1303215,msp_451
8.08691,12.424925,msp_452
27.70494,45.31019,msp_453
41.818672,23.739891,msp_454
42.139896,18.26462,msp_455
13.503746,28.210238,msp_456
11.999716,28.247341,msp_457
31.880587,30.02707,msp_458
19.239353,27.09362,msp_459
35.169304,22.545214,msp_460
44.188583,34.792534,msp_461
34.459435,1.8665333,msp_462
39.07181,43.022163,msp_463
21.71878,38.590816,msp_464
25.368595,45.27311,msp_465
28.281206,42.330284,msp_466
34.967667,35.402573,msp_467
40.76193,36.126747,msp_468
17.968693,21.772652,msp_469
18.496761,38.274628,msp_470
28.464321,30.5668,msp_471
48.639885,37.62475,msp_472
48.397194,19.809032,msp_473
18.960648,32.699303,msp_474
12.873019,31.663992,msp_475
35.56169,11.18504,msp_476
19.919655,27.683352,msp_477
29.946722,15.332725,msp_478
16.331333,13.805515,msp_479
27.990881,16.671307,msp_480
40.403526,47.596237,msp_481
6.0101643,29.405964,msp_482
42.875153,10.651942,msp_483
0.89816284,40.90242,msp_484
26.788898,13.036203,msp_485
26.081833,47.85353,msp_486
14.41565,40.562206,msp_487
41.992558,27.275747,msp_488
10.015059,5.296526,msp_489
25.301786,45.419655,msp_490
36.94569,27.997759,msp_491
39.770054,29.352243,msp_492
7.850788,20.822422,msp_493
38.799118,36.927807,msp_494
34.29711,8.998102,msp_495
30.528173,18.052464,msp_496
26.066454,18.048672,msp_497
11.646132,24.301521,msp_498
35.687965,17.412445,msp_499
